Supplier Name,Location,Category,Product,Transportation Mode,Transportation Route,Distribution Network,Emission Intensity (kg CO2/unit),Total Emissions (ton CO2),Fuel Consumption (liters),Energy Consumption (GJ),Sustainability Rating,Regulatory Impact,Year
Radiant Logistics,South Africa,Commercial,Projector,Truck,Paris Charles de Gaulle Airport,Suppliers,12.18,0.66,1262.68,397.75,5.3,Medium,2023
Radiant Traders,Venezuela,Industrial,Hydraulic Pump,Train,Hong Kong International Airport,Warehouses,9.41,23.01,2359.87,581.49,3.5,Medium,2020
Radiant Logistics,South Africa,Commercial,Whiteboard,Truck,Port of Rotterdam,Wholesalers,17.38,7.1,7832.04,48.66,5.5,Low,2019
Orion Trading Co.,Finland,Commercial,File Cabinet,Train,Dubai Port,Warehouses,14.83,26.15,9604.96,65.4,7,High,2022
Celestial Resources,Ireland,Residential,Air Conditioner,Ship,Port of Long Beach,Retailers,18.78,18.04,4979.09,347.61,7.2,High,2023
Infinity Logistics,Malaysia,Residential,Washing Machine,Truck,Tokyo Narita Airport,Suppliers,16.05,39.26,3492.14,459.47,6.3,Medium,2018
Vertex Industries,Turkey,Commercial,Shredder,Ship,Haneda Airport,Logistics,10.93,2.67,175.06,713.1,4.9,Low,2020
Ascend Supply Chain,Bangladesh,Transportation,Alternator,Truck,Interstate 40 (I-40),Manufacturers,18.89,1.87,6066.29,88.62,5.1,Medium,2022
Ascend Distribution,Sweden,Residential,Lamp,Air,Port of Jebel Ali,Suppliers,5.58,41.43,1920.94,621.73,7,Low,2023
Terra Logistics,India,Residential,Lamp,Train,Port of Valencia,Warehouses,6.88,49.43,4052.41,772.04,9.2,Low,2023
Nexus Procurement,Germany,Industrial,Hydraulic Pump,Air,Gatwick Airport,Manufacturers,15.49,34.54,7432.66,487.85,6.2,Low,2019
Titan Resource Partners,Kenya,Commercial,Desk Chair,Train,Port of Long Beach,Logistics,7.65,38.95,525.76,778.05,7.9,High,2018
Pinnacle Resources,Peru,Electric,Solar Panel,Ship,Interstate 55 (I-55),Wholesalers,6.4,8.8,2642.97,107.88,6.6,Medium,2021
Atlas Trading Co.,Singapore,Industrial,Lathe,Truck,Port of Hong Kong,Suppliers,11.18,47.35,1571.32,715.3,7.5,Medium,2023
Radiant Traders,Venezuela,Electric,Battery Charger,Air,Frankfurt Airport,Wholesalers,12.68,0.94,1309.93,553.29,2.9,High,2020
Zenith Supply Co.,Switzerland,Residential,Heater,Truck,Schiphol Airport,Logistics,3.24,10.99,8801.09,485.59,5.7,High,2022
Vertex Industries,Turkey,Commercial,Printer,Truck,Frankfurt Airport,Wholesalers,12.99,49.12,2079.8,965.39,9.2,Low,2022
Radiant Logistics,South Africa,Residential,Microwave,Ship,Port of Los Angeles,Warehouses,5.38,21.37,2991.97,751.7,4.1,Medium,2019
Ascend Supply Chain,Bangladesh,Industrial,Air Compressor,Truck,TGV Paris-Marseille,Suppliers,3.29,9.73,6663.88,856.85,7.8,Medium,2019
Eclipse Enterprises,Australia,Electric,Surge Protector,Truck,Port of Felixstowe,Warehouses,2.97,46.94,9334.33,848.25,9.7,Medium,2022
Stellar Supply Co.,Malaysia,Industrial,Forklift,Air,Interstate 5 (I-5),Manufacturers,11.84,46.11,9615.26,626.31,6.5,High,2021
Titan Supply Chain,Egypt,Industrial,Conveyor Belt,Train,Port of Rotterdam,Retailers,18.06,15.75,2316.51,155.69,8.5,Low,2023
Proxima Trading Co.,Russia,Electric,Extension Cord,Truck,Frankfurt Airport,Manufacturers,3.4,41.67,8424.21,761.5,5.2,Medium,2019
Quantum Distributors,Colombia,Industrial,Welding Machine,Ship,Tokyo Narita Airport,Warehouses,6.03,40.77,3082.45,195.86,7.6,Low,2023
Summit Distribution,Poland,Residential,Microwave,Truck,Port of New York and New Jersey,Logistics,10.04,49.7,9188.71,776,8.4,Medium,2023
Spectrum Supplies,Japan,Commercial,Cubicle Partition,Truck,Interstate 75 (I-75),Warehouses,5.25,12.04,538.4,116.83,6.5,Medium,2019
Pinnacle Resources,Peru,Commercial,Cubicle Partition,Air,Amsterdam Airport Schiphol,Logistics,8.13,17.29,4062.9,79.53,6.9,Medium,2022
Quantum Logistics,Indonesia,Commercial,File Cabinet,Train,Haneda Airport,Suppliers,3.61,10.78,588.61,276.03,6.7,Low,2022
Omega Trading Solutions,Argentina,Residential,Sofa,Ship,Port of Shanghai,Retailers,1.05,20.73,1129.08,385.17,5.5,High,2021
Zenith Supply Co.,Switzerland,Electric,Solar Panel,Train,Paris Charles de Gaulle Airport,Suppliers,19.01,37.17,3628.46,959.8,6.6,High,2023
Proxima Trading Co.,Russia,Industrial,CNC Machine,Air,Amtrak Acela Express,Manufacturers,12.22,26.15,863.11,217.28,9,High,2019
Apex Logistics,Vietnam,Commercial,Projector,Air,Port of Jebel Ali,Retailers,19.88,12.9,192.76,984.07,4.7,Medium,2018
Aurora Logistics,Hungary,Electric,Surge Protector,Truck,Interstate 40 (I-40),Logistics,9.43,31.07,3472.86,485.81,4.9,Low,2018
Titan Supply Chain,Egypt,Transportation,Alternator,Truck,Thalys Cologne-Paris,Logistics,5.36,41.1,9684.31,294.93,5.7,High,2023
Stellar Supply Co.,Malaysia,Industrial,Forklift,Ship,Hamburg Port,Wholesalers,16.33,2.85,7419.15,257.89,8.9,Medium,2018
Apex Supply Co.,Canada,Transportation,Car Battery,Air,Interstate 15 (I-15),Warehouses,10.5,4.47,2515.68,16.38,7.5,High,2021
Nova Resource Group,Ukraine,Electric,Smart Plug,Ship,Frankfurt-Munich,Wholesalers,12,6.37,6427.16,700.23,5.8,Low,2020
Frontier Resources,United States,Residential,Television,Train,Frankfurt-Munich,Suppliers,17.81,42.55,463.12,45.68,5.9,High,2018
Frontier Supply Co.,New Zealand,Commercial,Conference Table,Ship,Interstate 40 (I-40),Wholesalers,7.17,48.05,5715.16,717.95,5.9,Medium,2019
Nova Trade Solutions,Italy,Industrial,Hydraulic Pump,Air,Interstate 15 (I-15),Wholesalers,3.62,9.59,1829.83,455.82,7,High,2022
Omega Trading Solutions,Argentina,Industrial,Air Compressor,Truck,Paris Charles de Gaulle Airport,Manufacturers,6.47,13.24,8328.33,928.18,7.1,Low,2018
Proxima Trading Co.,Russia,Transportation,Radiator,Truck,Port of Busan,Warehouses,2.89,17.03,7751.64,394.81,6.8,Low,2018
Apex Logistics,Vietnam,Transportation,Radiator,Train,Eurostar London-Paris,Manufacturers,5.44,20.17,8948.44,126.06,6.6,Low,2022
Vanguard Supply,China,Transportation,Shock Absorber,Train,Eurostar Brussels-London,Warehouses,5.24,8.78,3829.43,150.41,4.3,Medium,2018
Quantum Logistics,Indonesia,Electric,Solar Panel,Air,Interstate 20 (I-20),Suppliers,5.56,2.53,4172.13,93.23,6.4,High,2021
Summit Procurement,Thailand,Industrial,Pneumatic Tool,Air,Interstate 95 (I-95),Suppliers,13.13,25.66,3682.87,718.7,7.5,High,2021
Orion Trading Co.,Finland,Residential,Refrigerator,Truck,Port of Singapore,Wholesalers,15.9,39.14,6779.04,370.78,8.3,High,2022
Omega Trading Solutions,Argentina,Electric,Extension Cord,Train,Thalys Cologne-Paris,Logistics,2.24,17.46,6980.42,966.9,7.7,Low,2023
Infinity Traders,Norway,Residential,Microwave,Ship,Thalys Paris-Brussels,Logistics,6.15,6.22,3130.91,321.98,7.3,Medium,2019
Nova Trade Solutions,Italy,Electric,Electric Fan,Ship,Interstate 75 (I-75),Manufacturers,1.13,11.8,7465.54,449.59,5.6,High,2023
Vanguard Supply,China,Industrial,Industrial Fan,Truck,Dubai Port,Logistics,5.6,23.47,2160.53,650.05,9.5,Low,2019
Titan Resource Partners,Kenya,Commercial,Coffee Maker,Ship,Eurostar London-Paris,Suppliers,1.76,32.39,7870.11,31.69,8.2,Medium,2023
Vertex Industries,Turkey,Electric,Electric Heater,Train,Thalys Amsterdam-Cologne,Wholesalers,5.08,17.54,3601.17,950.1,7.8,Medium,2018
Spectrum Enterprises,France,Electric,Electric Fan,Air,Interstate 35 (I-35),Suppliers,7.61,31.08,1431.49,80.96,6.7,Medium,2020
Proxima Supply Co.,United Arab Emirates,Commercial,Shredder,Train,Port of Singapore,Retailers,11.86,32.74,230.67,432.82,7.2,Medium,2021
Stellar Supply Co.,Malaysia,Transportation,Brake Pad,Truck,Gatwick Airport,Warehouses,12.89,27.29,2239.21,916.04,2.7,High,2019
Spectrum Supplies,Japan,Transportation,GPS System,Train,Dubai Port,Manufacturers,1.49,42.64,4948.19,966.73,7.3,High,2018
Infinity Traders,Norway,Transportation,Headlight,Air,Port of Felixstowe,Suppliers,7.86,42.37,9727.8,643.49,9.3,Low,2023
Apex Logistics,Vietnam,Transportation,Headlight,Truck,Interstate 10 (I-10),Logistics,6.87,11.87,3456.82,859.73,4,High,2021
Summit Distribution,Poland,Commercial,Conference Table,Truck,Hong Kong International Airport,Retailers,10.82,35.93,4423.41,405.91,7.3,High,2020
Zenith Supply Co.,Switzerland,Commercial,Printer,Ship,Interstate 20 (I-20),Wholesalers,7.56,17.92,6571.54,704.1,6.5,Low,2021
Titan Supply Chain,Egypt,Transportation,Brake Pad,Truck,Interstate 15 (I-15),Warehouses,12.9,9.32,6343.93,734,7,Low,2019
Elevation Supply Chain,Portugal,Residential,Heater,Truck,Interstate 10 (I-10),Logistics,14.89,36.29,9764.34,660.6,6.3,Medium,2018
Vertex Industries,Turkey,Transportation,Air Filter,Train,Interstate 35 (I-35),Warehouses,5.74,34.98,457.01,280.29,8,Low,2018
Vertex Industries,Turkey,Industrial,Conveyor Belt,Train,Shinkansen Tokyo-Osaka,Manufacturers,10.05,34.49,9318.19,109.6,7.5,Low,2023
Eclipse Enterprises,Australia,Transportation,Car Battery,Air,Interstate 75 (I-75),Retailers,14.79,29.36,3321.39,988.29,6.2,High,2023
Quantum Distributors,Colombia,Residential,Television,Air,Thalys Amsterdam-Cologne,Wholesalers,11.67,21.33,4506.71,583.71,3.7,Low,2019
Orion Trading Co.,Finland,Industrial,Hydraulic Pump,Ship,Amsterdam Airport Schiphol,Manufacturers,7.52,37.97,8258.42,356.54,7.7,Medium,2019
Horizon Distribution,Chile,Transportation,Tire,Ship,LAX Airport,Retailers,19.83,35.28,8073.23,641.69,7.6,Low,2023
Spectrum Supplies,Japan,Industrial,Welding Machine,Ship,Port of Busan,Warehouses,10.91,39.37,7049.86,114.21,7.4,High,2020
Quantum Distributors,Colombia,Commercial,Conference Table,Train,Port of Felixstowe,Retailers,4.71,40.6,5360.15,140.84,8.2,Medium,2020
Aurora Logistics,Hungary,Electric,Smart Plug,Ship,Port of Tanjung Priok,Logistics,16.2,17.7,8879.68,537.33,3.5,Medium,2018
Nova Enterprises,Philippines,Transportation,Tire,Air,Interstate 10 (I-10),Manufacturers,13.92,12.31,4746.84,955.94,8.1,Low,2022
Vertex Supply Partners,Saudi Arabia,Transportation,GPS System,Train,Amtrak Acela Express,Manufacturers,7.18,19.63,523.09,496.92,8.2,Low,2018
Titan Supply Chain,Egypt,Transportation,Shock Absorber,Ship,Port of Hamburg,Logistics,15.14,18.39,5818.53,714.06,8.3,Low,2022
Nova Enterprises,Philippines,Industrial,Lathe,Train,LAX Airport,Logistics,19.5,14.46,7968.34,267.02,5.1,Low,2018
Zenith Logistics,Brazil,Residential,Refrigerator,Ship,Route 66 (Chicago to Los Angeles),Suppliers,13.48,48.44,6695.44,855.42,7.9,High,2020
Spectrum Trading Solutions,Mexico,Industrial,CNC Machine,Truck,Interstate 55 (I-55),Manufacturers,16.17,6.53,6221.96,333.93,8.4,High,2020
Aurora Logistics,Hungary,Commercial,Conference Table,Truck,Interstate 85 (I-85),Wholesalers,16.23,31.79,4653.02,301.88,7.4,Low,2022
Spectrum Supplies,Japan,Transportation,Air Filter,Ship,Interstate 55 (I-55),Manufacturers,11.95,14.79,1680.76,99.29,11,Low,2020
Vertex Supply Partners,Saudi Arabia,Industrial,Forklift,Ship,Port of Jebel Ali,Suppliers,7.65,10.49,7282.81,773.05,6.6,Low,2019
Infinity Logistics,Malaysia,Commercial,Shredder,Train,Amsterdam Airport Schiphol,Retailers,9.38,30.72,7058.82,475.97,7.4,Low,2022
Vanguard Supply,China,Commercial,Desk Chair,Train,Gatwick Airport,Wholesalers,12.03,46.22,6299,355.14,5.8,High,2021
Aurora Trade Partners,United Kingdom,Transportation,Tire,Truck,Port of Zeebrugge,Retailers,11.14,30.34,2286.47,185.11,7.1,Low,2018
Infinity Logistics,Malaysia,Transportation,Air Filter,Train,Eurostar Brussels-London,Wholesalers,4.35,11.4,6299.6,967.14,8.2,Low,2020
Zenith Supply Co.,Switzerland,Residential,Vacuum Cleaner,Train,Interstate 5 (I-5),Retailers,4.72,35.04,1209.76,461.57,8.5,High,2019
Eclipse Distributors,Denmark,Industrial,Forklift,Air,Port of Busan,Logistics,3.54,34.78,8087.91,209.6,5.6,High,2018
Horizon Distribution,Chile,Residential,Air Conditioner,Truck,Interstate 5 (I-5),Logistics,5.53,8.97,1202.49,302.92,5.3,High,2023
Spectrum Supplies,Japan,Residential,Dishwasher,Truck,Schiphol Airport,Wholesalers,4.33,14.28,2097.69,87.68,7.6,Medium,2021
Apex Logistics,Vietnam,Transportation,Alternator,Ship,Haneda Airport,Logistics,8.72,44.25,4241.87,210.66,7,Low,2019
Zenith Supply Co.,Switzerland,Electric,Battery Charger,Ship,London Heathrow Airport,Suppliers,18.94,45.29,7545.52,860.93,6.8,Medium,2023
Orion Trading Co.,Finland,Transportation,Oil Filter,Train,Interstate 55 (I-55),Logistics,4.13,7.97,8900.84,405.34,6.5,High,2023
Zenith Supply Co.,Switzerland,Industrial,Welding Machine,Air,Interstate 40 (I-40),Warehouses,4.87,39.95,975.61,128.27,8,Medium,2020
Pinnacle Resources,Peru,Residential,Vacuum Cleaner,Train,Route 66 (Chicago to Los Angeles),Suppliers,16.46,25.84,9508.32,286.17,7.2,Medium,2018
Stellar Solutions,South Korea,Commercial,Whiteboard,Air,Thalys Amsterdam-Cologne,Manufacturers,12.56,19.3,2183.89,30.05,9.4,Medium,2018
Celestial Resources,Ireland,Residential,Heater,Truck,Schiphol Airport,Retailers,13.17,7.2,3348.69,256.63,7.4,Medium,2019
Quantum Logistics,Indonesia,Transportation,Brake Pad,Air,London Heathrow Airport,Logistics,18.94,4.99,2201.05,370.06,8.4,High,2023
Nova Resource Group,Ukraine,Transportation,Alternator,Truck,Interstate 85 (I-85),Wholesalers,2.53,29.93,6640.39,412.82,7.2,Low,2020
Quantum Distributors,Colombia,Electric,Extension Cord,Train,Interstate 75 (I-75),Suppliers,12.44,24.52,2887.51,557.39,4.1,Medium,2022
Pinnacle Trading Co.,Singapore,Transportation,Oil Filter,Air,Port of Hong Kong,Retailers,7.69,49.02,7484.88,464.01,4,High,2021
Summit Procurement,Thailand,Commercial,Desk Chair,Air,Route 66 (Chicago to Los Angeles),Manufacturers,18.59,25.51,4551.08,111.74,7.9,Low,2021
Frontier Supply Co.,New Zealand,Industrial,Industrial Robot,Air,Interstate 25 (I-25),Warehouses,14.5,14.23,9144.63,991.96,4.7,High,2018
Pinnacle Trading Co.,Singapore,Transportation,Tire,Train,Interstate 85 (I-85),Suppliers,10.16,29.11,1035.5,985.52,9.2,Medium,2023
Titan Supply Chain,Egypt,Transportation,GPS System,Truck,Port of Los Angeles,Logistics,2.37,11.11,1099.85,185.51,6.6,High,2021
Nova Resource Group,Ukraine,Transportation,Oil Filter,Truck,Amsterdam Airport Schiphol,Wholesalers,13.98,40.61,6719.93,310.93,4.6,Low,2020
Summit Procurement,Thailand,Commercial,Office Desk,Train,Interstate 85 (I-85),Warehouses,1.71,19.52,8972.98,85.87,6.2,Medium,2023
Horizon Distribution,Chile,Commercial,Cubicle Partition,Train,Port of Valencia,Warehouses,3.13,47.12,1591.59,248.76,7,High,2018
Nexus Procurement,Germany,Commercial,Office Desk,Ship,Interstate 95 (I-95),Wholesalers,14.59,44.26,8334.66,897.23,3.8,High,2018
Aurora Trade Partners,United Kingdom,Industrial,Conveyor Belt,Truck,Interstate 80 (I-80),Wholesalers,3.33,22.71,848.1,641.68,5.8,High,2021
Quantum Distributors,Colombia,Commercial,Coffee Maker,Air,Port of New York and New Jersey,Retailers,10.57,34.01,9376.39,669.01,6.6,Low,2022
Proxima Supply Co.,United Arab Emirates,Transportation,Alternator,Ship,Interstate 25 (I-25),Logistics,11.65,45.11,301.12,307,6.6,Medium,2021
Nova Enterprises,Philippines,Commercial,Coffee Maker,Train,Port of Los Angeles,Manufacturers,1.88,20.93,2382.33,927,7.6,Medium,2023
Horizon Distribution,Chile,Commercial,Printer,Ship,Shinkansen Tokyo-Osaka,Wholesalers,6.22,36.46,6788.08,799.07,9.6,High,2019
Titan Resource Partners,Kenya,Electric,Smart Plug,Truck,Interstate 70 (I-70),Warehouses,13.93,22.49,1596.97,991.81,8.2,Low,2021
Spectrum Trading Solutions,Mexico,Industrial,Industrial Fan,Ship,Interstate 25 (I-25),Logistics,4.14,44.93,428.26,108.05,5.5,Low,2022
Elevate Enterprises,Greece,Residential,Refrigerator,Train,Hong Kong International Airport,Manufacturers,7.44,6.24,9853.27,868.78,7,Medium,2021
Vertex Industries,Turkey,Residential,Heater,Train,Thalys Paris-Brussels,Suppliers,15.41,11.58,8962.96,691.13,5.2,Low,2018
Frontier Resources,United States,Industrial,Forklift,Train,Interstate 35 (I-35),Retailers,9.29,33.34,4421.94,531.12,6.2,Medium,2018
Ascend Distribution,Sweden,Electric,Surge Protector,Ship,Thalys Amsterdam-Cologne,Retailers,3.82,33.24,2908.08,314.73,5.3,Low,2023
Aurora Logistics,Hungary,Industrial,Forklift,Truck,Paris Charles de Gaulle Airport,Suppliers,1.15,7.94,7268.23,788.41,7.8,Medium,2018
Vanguard Resources,Taiwan,Residential,Vacuum Cleaner,Train,Amtrak Acela Express,Manufacturers,8.32,18.26,7028.68,809.09,6.7,High,2021
Vertex Industries,Turkey,Electric,Solar Panel,Ship,Interstate 35 (I-35),Wholesalers,12.72,49.19,2982.67,320.66,8.9,Low,2019
Infinity Logistics,Malaysia,Electric,Electric Fan,Air,Interstate 25 (I-25),Retailers,19.25,45.64,6673.53,165.49,7.2,Low,2018
Vertex Supply Partners,Saudi Arabia,Industrial,Welding Machine,Truck,Interstate 75 (I-75),Logistics,4.05,36.33,3632.56,220.03,5.9,Low,2020
Apex Supply Co.,Canada,Commercial,Desk Chair,Ship,Port of Antwerp,Wholesalers,14.2,18.93,3292.33,236.34,4.6,Medium,2021
Celestial Supply Chain,Chile,Residential,Heater,Air,Interstate 25 (I-25),Logistics,5.13,21.47,4032.86,263.96,5,Low,2022
Proxima Trading Co.,Russia,Electric,Surge Protector,Air,Frankfurt-Munich,Logistics,8.84,42.93,3002.52,257.08,4.5,High,2020
Spectrum Supplies,Japan,Commercial,Office Desk,Truck,Frankfurt-Munich,Suppliers,18.93,25.26,257.99,394.9,3.9,Low,2022
Radiant Logistics,South Africa,Residential,Lamp,Air,Shinkansen Osaka-Kyoto,Suppliers,11.52,49.14,1383.16,292.61,5.2,Medium,2020
Apex Logistics,Vietnam,Commercial,Printer,Air,Interstate 75 (I-75),Suppliers,17.25,4.62,2988.52,771.35,7.6,Low,2022
Titan Supply Chain,Egypt,Commercial,Desk Chair,Train,Thalys Amsterdam-Cologne,Wholesalers,10.84,5.83,2469.25,829.72,4.5,Medium,2020
Summit Distribution,Poland,Transportation,Air Filter,Ship,London Heathrow Airport,Wholesalers,9.43,41.52,1104.27,577.34,4.1,Low,2022
Proxima Trading Co.,Russia,Transportation,GPS System,Ship,Port of Hong Kong,Warehouses,1.56,37.05,2955.28,243.38,6.8,High,2019
Titan Supply Chain,Egypt,Residential,Vacuum Cleaner,Ship,Interstate 75 (I-75),Suppliers,9.65,1.2,1305.39,77.83,3,High,2019
Apex Supply Co.,Canada,Transportation,Headlight,Truck,Frankfurt-Munich,Logistics,12.87,23.5,8920.66,361.95,7.4,High,2018
Radiant Traders,Venezuela,Transportation,GPS System,Train,Port of Tanjung Priok,Wholesalers,16.19,6.61,4521.84,263.64,5.5,Low,2018
Aurora Logistics,Hungary,Commercial,Projector,Truck,Amtrak Acela Express,Warehouses,3.72,4.24,4432.28,871.85,8.7,Medium,2020
Stellar Supply Co.,Malaysia,Residential,Washing Machine,Train,Port of Jebel Ali,Warehouses,19.94,26.48,2658.89,480.78,5.4,High,2022
Stellar Solutions,South Korea,Residential,Heater,Truck,Paris Charles de Gaulle Airport,Wholesalers,8.79,49.34,3503.57,729.94,5.2,Medium,2018
Terra Logistics,India,Industrial,Industrial Fan,Ship,LAX Airport,Wholesalers,7.49,37.06,8956.21,896.47,6.7,High,2023
Vertex Industries,Turkey,Commercial,Printer,Truck,Interstate 85 (I-85),Manufacturers,8.06,12.03,9254.48,168.28,7.5,Medium,2021
Titan Resource Partners,Kenya,Transportation,Oil Filter,Truck,Interstate 25 (I-25),Suppliers,8.26,36.89,2819.98,451.17,7.7,High,2022
Apex Logistics,Vietnam,Transportation,Shock Absorber,Air,Thalys Amsterdam-Cologne,Logistics,3.7,37.93,7289.25,624.38,6.6,Medium,2023
Quantum Distributors,Colombia,Industrial,Industrial Robot,Ship,Route 66 (Chicago to Los Angeles),Manufacturers,19.54,40.52,1272.5,711.18,8.6,High,2023
Nova Enterprises,Philippines,Transportation,Shock Absorber,Train,Port of Rotterdam,Logistics,6.79,23.88,3663.15,958.82,5.9,Medium,2021
Nova Trade Solutions,Italy,Industrial,Welding Machine,Truck,Interstate 40 (I-40),Warehouses,10.05,10.94,5351.6,704.77,5.2,High,2021
Vertex Supply Partners,Saudi Arabia,Electric,Electric Fan,Truck,Interstate 55 (I-55),Retailers,1.81,4.52,1752.5,330.97,4.3,Medium,2021
Nova Enterprises,Philippines,Electric,Smart Plug,Train,Interstate 35 (I-35),Retailers,10.85,4.55,1912.06,733.6,6.5,High,2019
Ascend Supply Chain,Bangladesh,Industrial,CNC Machine,Truck,Shinkansen Osaka-Kyoto,Wholesalers,17.06,12.77,8383.67,169.14,8.7,Low,2021
Radiant Traders,Venezuela,Commercial,Whiteboard,Air,Interstate 90 (I-90),Wholesalers,17.7,41.5,1845.79,909.86,6.8,Low,2020
Pinnacle Trading Co.,Singapore,Commercial,File Cabinet,Air,Thalys Amsterdam-Cologne,Suppliers,16.58,37.57,4665.07,777.79,5.9,Low,2019
Orion Trading Co.,Finland,Electric,Smart Plug,Air,Paris Orly Airport,Wholesalers,9.53,48.85,1949.38,57.31,3.4,Low,2023
Omega Trading Solutions,Argentina,Commercial,Cubicle Partition,Train,Eurostar London-Brussels,Warehouses,9.2,5,2718.44,831.69,7.2,Medium,2022
Frontier Supply Co.,New Zealand,Electric,LED Bulb,Air,Interstate 65 (I-65),Manufacturers,4.3,43.82,3804.65,642.52,7.2,Medium,2019
Zenith Supply Co.,Switzerland,Commercial,Coffee Maker,Air,London Heathrow Airport,Manufacturers,8.75,30.92,3503.21,220.2,10,Low,2018
Proxima Trading Co.,Russia,Transportation,Radiator,Ship,Interstate 85 (I-85),Retailers,8.84,22.11,6853.01,517.69,8.3,Low,2022
Titan Supply Chain,Egypt,Commercial,File Cabinet,Train,Interstate 75 (I-75),Logistics,17.21,5.2,2103.69,494.46,6.1,Medium,2018
Frontier Resources,United States,Transportation,Air Filter,Train,Interstate 40 (I-40),Manufacturers,7.3,23.88,479.38,366.86,6,Low,2022
Nova Trade Solutions,Italy,Transportation,Air Filter,Air,Interstate 40 (I-40),Logistics,6.76,22.58,8600.63,936.18,4.8,Medium,2018
Frontier Supply Co.,New Zealand,Electric,Battery Charger,Truck,Interstate 15 (I-15),Wholesalers,8.62,28.95,4107.95,936.42,7.1,Medium,2018
Terra Resources,Uruguay,Commercial,Desk Chair,Air,Interstate 65 (I-65),Suppliers,11.36,37.22,1131.67,92.6,6,Medium,2023
Radiant Traders,Venezuela,Transportation,Brake Pad,Ship,Paris Orly Airport,Wholesalers,11.4,15.72,9260.55,377.92,7.5,High,2019
Titan Supply Chain,Egypt,Electric,Battery Charger,Train,Interstate 95 (I-95),Wholesalers,15.16,30.25,4023.87,610.33,6.1,Low,2020
Pinnacle Trading Co.,Singapore,Residential,Washing Machine,Air,Interstate 40 (I-40),Logistics,19.81,4.94,2825.5,670.52,6.7,High,2023
Pinnacle Trading Co.,Singapore,Industrial,CNC Machine,Truck,Port of Hong Kong,Logistics,7.61,10.25,4291.05,538.99,5.6,Low,2018
